Marital Status,Application mode,Application order,Course,Previous qualification,Nacionality,Admission grade,Displaced,Gender,Age at enrollment,Success rate 1st sem,Success rate 2nd sem,Financial Status,Economic Status,Target
1,17,1,9773,1,1,121.4,0,0,20,2,3,1,7,Dropout
1,39,1,9991,1,1,109.7,0,0,29,0,0,2,4,Dropout
1,17,1,9991,1,1,134.1,0,0,24,1,2,2,5,Enrolled
1,17,2,9238,1,1,127.6,1,0,18,3,3,2,6,Graduate
1,17,6,9500,1,1,132.4,1,0,22,3,3,3,6,Graduate
1,44,1,8014,39,1,133.4,0,0,21,3,3,3,7,Graduate
1,1,1,9238,1,1,126.1,0,0,19,3,3,3,3,Graduate
1,39,1,9254,1,1,113.5,0,0,24,3,3,3,7,Graduate
1,1,1,9500,1,1,121.3,1,0,19,2,2,3,6,Enrolled
1,1,1,9773,1,1,121.8,1,0,20,2,1,3,6,Enrolled
1,1,3,9130,1,1,159.3,0,0,19,3,3,2,5,Graduate
1,39,1,9991,1,1,120.0,0,0,27,3,3,2,6,Dropout
1,1,1,9500,1,1,129.1,1,0,18,3,3,2,2,Graduate
2,7,1,9254,3,1,130.0,0,0,39,0,0,2,7,Dropout
1,39,1,9130,40,1,155.3,1,0,27,3,3,2,7,Dropout
1,17,1,9500,1,1,139.8,1,0,18,3,3,2,6,Graduate
1,1,3,171,1,1,115.2,1,0,18,0,0,2,5,Enrolled
1,1,2,9500,1,1,114.9,0,0,18,3,3,2,4,Graduate
1,44,1,9238,39,1,131.9,0,0,21,3,3,3,5,Graduate
1,17,3,171,1,1,126.0,1,1,19,0,0,3,5,Enrolled
1,17,1,9070,1,1,130.2,1,1,19,3,0,2,5,Enrolled
1,43,1,9070,1,1,120.9,0,1,24,0,0,2,3,Enrolled
4,42,1,9500,19,1,126.0,1,1,29,2,2,2,5,Dropout
1,1,3,171,1,1,128.2,1,1,19,0,0,3,5,Graduate
1,44,1,9003,39,1,130.0,1,1,23,3,3,2,7,Graduate
1,1,3,9147,1,1,120.1,0,1,19,3,3,1,4,Dropout
1,39,1,9254,1,1,100.0,0,1,26,3,3,2,3,Enrolled
1,17,1,9147,1,1,134.0,0,1,18,0,0,2,5,Enrolled
1,17,1,9500,1,1,130.8,0,1,24,3,3,2,5,Graduate
1,1,1,171,1,1,135.8,1,1,19,0,0,2,2,Dropout
1,17,4,9254,1,1,111.7,1,1,18,1,0,2,7,Dropout
1,1,2,9773,1,1,132.9,1,1,18,3,1,2,5,Graduate
1,17,3,9147,1,1,115.5,1,1,18,2,2,1,5,Dropout
1,18,4,9254,1,1,106.0,1,1,21,2,0,3,6,Dropout
1,17,4,9773,1,1,120.3,1,1,19,3,3,2,7,Graduate
1,17,4,9500,1,1,130.8,0,1,22,3,3,3,4,Graduate
2,39,1,8014,1,1,117.0,0,1,33,3,3,2,5,Graduate
1,1,6,9853,1,1,110.2,1,1,20,3,3,2,5,Dropout
1,39,1,9991,2,1,155.7,1,1,35,0,0,2,5,Dropout
1,39,1,9003,4,1,180.4,0,1,24,1,3,1,7,Dropout
1,17,1,9254,1,1,125.5,0,1,18,3,2,2,3,Enrolled
2,39,1,8014,1,1,110.0,1,0,33,3,3,2,6,Graduate
1,42,1,9500,1,1,161.0,1,0,22,3,3,3,5,Graduate
1,39,1,9670,1,1,100.0,0,0,25,3,3,3,6,Graduate
1,17,1,9070,1,1,117.6,1,1,20,3,3,2,5,Graduate
1,1,6,9147,1,1,128.7,1,1,23,3,3,2,6,Enrolled
1,43,2,9119,1,1,112.2,1,1,18,1,0,1,2,Enrolled
1,39,1,9500,1,1,100.8,0,1,24,0,0,2,5,Dropout
1,17,2,9773,1,41,105.0,1,0,21,3,3,1,7,Graduate
1,15,1,9130,1,41,100.0,0,0,26,1,0,2,7,Dropout
2,39,1,9853,10,1,115.5,0,0,39,1,0,2,5,Dropout
2,39,1,8014,1,1,114.0,0,0,44,3,3,2,3,Graduate
1,15,1,9119,1,26,137.0,1,1,19,3,2,2,5,Enrolled
1,1,5,9773,1,1,124.9,1,0,18,3,3,2,7,Graduate
1,1,5,9500,1,1,120.3,1,0,18,3,3,3,7,Graduate
1,1,1,9085,1,1,134.3,1,0,19,3,3,2,3,Enrolled
1,1,4,9500,1,1,111.5,1,0,19,2,0,0,5,Dropout
1,53,1,9085,42,1,128.8,0,0,21,3,2,2,7,Dropout
1,1,4,171,1,1,110.0,1,0,20,0,0,2,4,Graduate
2,39,1,8014,1,1,113.5,1,0,36,0,0,2,6,Dropout
4,39,1,9003,12,1,160.0,0,0,43,3,3,2,2,Graduate
1,18,1,9853,1,1,117.4,1,0,19,0,0,2,6,Dropout
1,51,1,9070,1,1,122.2,0,0,20,3,3,1,6,Graduate
1,1,2,9238,1,1,118.2,1,0,19,0,0,2,4,Dropout
1,1,1,9085,1,1,106.7,1,0,20,2,2,2,2,Dropout
1,1,5,9500,1,1,108.2,1,0,20,3,2,2,7,Dropout
1,17,2,9853,1,1,107.0,1,0,20,3,1,2,4,Enrolled
1,1,1,9238,1,1,136.1,1,0,18,3,3,2,5,Graduate
1,17,2,9147,1,1,115.3,1,0,18,2,2,3,7,Enrolled
1,1,1,9085,1,1,139.8,1,0,19,3,3,2,5,Graduate
1,1,3,9773,1,1,157.0,1,0,18,3,3,2,5,Graduate
1,17,2,9500,1,1,131.0,1,0,18,3,3,2,5,Dropout
1,43,1,9500,1,1,100.0,0,0,20,3,3,2,5,Enrolled
1,17,1,9238,1,1,140.4,1,0,20,1,2,3,5,Enrolled
1,17,1,9147,1,1,113.4,0,0,20,2,2,2,7,Enrolled
1,1,2,9085,1,1,137.0,0,0,18,3,3,2,6,Graduate
1,1,1,9147,1,1,121.8,0,0,18,3,3,2,6,Graduate
1,17,1,9254,1,1,131.0,1,0,21,1,1,2,6,Dropout
1,1,2,9147,1,1,118.6,1,0,19,3,3,2,4,Graduate
1,1,1,171,1,1,122.3,0,0,19,0,0,2,5,Dropout
1,1,1,9670,1,1,127.9,0,0,19,3,3,3,6,Graduate
1,1,1,9085,1,1,121.3,1,0,19,3,3,2,2,Graduate
1,17,6,9556,1,1,117.1,1,0,19,2,0,2,5,Dropout
1,44,1,9085,39,1,160.0,1,0,20,3,3,2,7,Graduate
1,1,1,9853,1,1,145.3,1,0,18,3,3,3,6,Enrolled
1,17,3,9238,1,1,122.6,1,0,18,3,3,2,7,Graduate
1,17,6,9500,1,1,128.0,1,0,19,3,3,2,7,Graduate
1,1,3,9500,1,1,124.9,1,0,18,3,3,3,5,Dropout
1,17,2,9070,1,1,123.7,1,0,18,3,3,2,5,Graduate
1,1,4,9147,1,1,120.1,1,0,19,3,3,2,7,Graduate
1,17,6,9500,1,1,131.7,1,0,19,2,0,2,5,Dropout
1,43,1,9238,1,1,133.2,0,0,20,3,3,2,5,Graduate
1,1,1,9670,1,1,109.3,0,0,19,3,2,1,7,Dropout
1,17,1,9670,1,1,113.0,1,0,20,3,3,2,5,Graduate
1,1,1,9773,1,1,157.9,0,0,18,3,3,2,7,Graduate
1,1,2,9500,1,1,112.1,0,0,20,2,3,3,6,Enrolled
1,18,1,9500,1,1,174.7,0,0,18,3,3,2,5,Graduate
1,1,5,9500,1,1,128.8,1,0,19,3,3,2,5,Graduate
1,1,6,9773,1,1,110.1,1,0,19,3,3,3,7,Graduate
1,51,1,9147,1,1,99.7,1,0,22,0,0,0,7,Enrolled
1,1,3,9238,1,1,121.0,1,0,19,3,3,3,7,Graduate
1,1,3,9500,1,1,131.7,1,0,19,3,3,3,2,Graduate
1,17,5,9853,1,1,119.1,1,0,19,3,3,3,6,Graduate
1,1,4,9254,1,1,124.7,1,0,19,0,0,2,5,Dropout
1,17,1,9254,1,1,117.2,1,0,20,3,1,2,5,Dropout
1,1,1,9147,1,1,128.8,0,0,18,3,3,2,5,Graduate
1,1,1,9500,1,1,131.5,0,0,20,3,3,3,6,Graduate
1,1,1,171,1,1,121.7,1,0,18,0,0,2,6,Enrolled
1,1,1,9085,1,1,123.4,0,0,19,3,3,2,5,Graduate
1,17,1,9853,1,1,124.7,1,0,18,1,3,2,6,Enrolled
1,1,1,9853,1,1,132.8,1,0,18,3,3,2,5,Graduate
1,43,1,9853,1,1,108.7,1,0,21,1,1,2,6,Dropout
1,1,1,9853,1,1,138.1,0,0,19,3,2,2,5,Dropout
1,1,1,9147,1,1,126.5,0,0,18,3,3,3,7,Graduate
1,17,2,9238,1,1,127.4,1,0,18,3,3,3,3,Graduate
1,1,3,9238,1,1,123.6,1,0,20,2,3,2,6,Graduate
1,39,1,8014,1,1,122.0,0,0,24,3,3,3,6,Graduate
1,1,1,9670,1,1,118.2,0,0,19,3,3,2,5,Dropout
1,1,1,9500,1,1,123.9,1,0,18,3,3,3,2,Graduate
1,1,2,9500,1,1,125.8,1,0,18,3,3,2,2,Graduate
1,17,5,9853,1,1,123.3,1,0,21,2,1,2,5,Dropout
1,17,2,9670,1,1,124.4,0,0,19,3,3,2,5,Graduate
1,17,1,9773,1,1,126.0,0,0,19,3,3,3,2,Graduate
3,39,1,9003,1,1,170.0,0,0,47,0,0,1,7,Enrolled
1,17,3,9238,1,1,121.5,0,0,19,3,2,2,5,Graduate
1,39,1,9500,3,1,130.0,0,0,29,3,3,2,3,Graduate
1,43,1,9238,1,1,117.0,1,0,21,1,1,2,4,Dropout
1,39,1,9085,1,1,130.0,1,0,28,3,3,2,3,Enrolled
1,17,2,9556,1,1,108.0,0,0,20,3,3,2,2,Graduate
1,17,1,9500,1,1,132.3,1,0,19,3,3,2,5,Graduate
1,42,1,8014,1,1,148.0,0,0,26,1,3,2,6,Graduate
1,17,2,9254,1,1,122.6,1,0,20,2,3,0,6,Dropout
1,1,1,9670,1,1,123.0,1,0,18,2,3,3,5,Enrolled
1,39,1,9853,1,1,102.5,0,0,27,3,3,2,5,Graduate
1,1,2,9500,1,1,113.3,1,0,20,2,2,2,5,Dropout
1,1,5,9853,1,1,133.0,1,0,18,3,3,2,6,Dropout
1,7,1,9500,3,1,140.0,0,0,33,3,2,2,4,Dropout
1,43,1,9853,1,1,128.3,1,0,35,3,3,2,7,Graduate
1,44,1,9991,39,1,140.0,0,0,26,3,3,3,6,Enrolled
1,39,1,9773,19,1,104.0,0,0,27,3,0,0,6,Dropout
1,18,3,9070,1,1,122.3,1,0,19,3,0,1,2,Dropout
1,17,2,9254,1,1,135.0,0,0,20,0,0,2,6,Dropout
1,18,2,9147,1,1,119.1,1,0,20,2,2,0,5,Dropout
1,43,1,9238,1,1,126.6,0,0,21,3,2,0,6,Enrolled
1,17,3,9500,1,1,129.0,1,0,18,3,3,3,5,Graduate
1,39,1,9085,1,1,162.3,1,0,24,1,0,2,7,Dropout
1,17,4,9070,1,1,163.4,1,0,20,3,3,2,4,Graduate
1,1,1,9254,1,1,121.5,0,0,21,3,3,3,5,Graduate
1,1,1,8014,1,1,122.8,0,0,23,1,0,2,6,Enrolled
1,39,1,9147,1,1,118.0,1,0,24,0,0,2,5,Dropout
1,51,1,9853,1,1,134.0,0,0,21,0,0,2,7,Dropout
1,1,4,9500,1,1,129.8,1,0,18,3,3,2,3,Graduate
1,39,1,9991,40,1,152.0,1,0,27,0,0,2,7,Dropout
1,18,6,9500,1,1,122.8,1,0,18,3,3,2,6,Graduate
1,7,1,9119,3,1,150.0,0,0,35,0,0,2,5,Dropout
1,1,1,9853,1,1,131.8,0,0,18,3,3,2,6,Graduate
1,39,1,9500,1,1,105.9,0,0,35,3,3,2,6,Enrolled
1,1,1,9085,1,1,132.1,1,0,19,3,3,2,5,Graduate
1,1,4,9238,1,1,127.4,1,0,20,3,3,2,5,Graduate
1,1,4,9500,1,1,129.5,1,0,18,3,3,2,5,Graduate
1,44,1,9238,39,1,126.7,0,0,21,3,3,1,5,Graduate
1,17,2,9238,1,1,116.5,0,0,18,3,2,3,4,Graduate
1,1,1,9238,1,1,119.1,1,0,18,2,2,2,5,Graduate
1,1,2,9500,1,1,126.5,1,0,18,3,3,2,3,Graduate
1,1,4,9773,1,1,149.8,1,0,18,3,3,3,4,Graduate
1,1,1,9085,1,1,115.1,1,0,19,3,3,2,5,Graduate
1,39,1,9254,19,1,124.5,0,0,36,3,3,3,4,Dropout
1,1,2,9500,1,1,128.3,1,0,18,3,3,3,3,Graduate
1,1,1,9500,1,1,136.0,0,0,18,3,3,3,5,Graduate
1,43,1,9130,1,1,140.0,1,0,20,3,3,3,5,Graduate
1,39,1,9991,1,1,126.3,0,0,26,0,0,3,4,Dropout
1,43,1,9773,1,1,126.9,0,0,21,3,3,2,5,Graduate
1,39,1,9556,40,1,145.0,0,0,25,3,3,2,2,Enrolled
1,18,1,9147,1,1,115.8,1,0,19,3,3,3,7,Graduate
1,39,1,8014,1,1,100.0,1,0,24,0,0,2,6,Dropout
1,39,1,8014,1,1,102.5,0,0,27,0,0,3,7,Dropout
1,17,1,9085,1,1,131.5,0,0,21,0,1,2,5,Dropout
1,1,1,9147,1,1,147.0,0,0,18,3,2,3,6,Graduate
2,1,4,9853,1,1,122.5,0,0,19,3,3,3,5,Graduate
1,1,3,9254,1,1,117.5,1,0,18,2,1,2,6,Dropout
1,51,1,9500,1,1,150.0,0,0,19,2,3,3,6,Graduate
1,18,1,9500,1,1,127.5,1,0,19,3,3,3,4,Graduate
2,7,1,9991,43,1,140.0,0,0,33,3,3,2,6,Graduate
2,7,1,9147,3,1,130.0,0,0,45,3,3,2,7,Graduate
1,1,1,9238,1,1,133.3,0,0,20,3,3,3,6,Graduate
1,39,2,9670,1,1,97.0,1,0,28,0,0,2,5,Dropout
1,43,1,9500,1,1,112.0,1,0,19,3,3,3,3,Graduate
1,1,2,9254,1,1,123.6,1,0,18,3,1,2,3,Graduate
1,39,1,9254,3,1,130.5,0,0,38,0,0,2,2,Dropout
1,1,2,9670,1,1,133.3,0,0,19,3,3,2,6,Graduate
1,1,1,9254,1,1,132.1,0,0,21,3,3,3,2,Graduate
1,1,1,9147,1,1,100.0,0,0,21,2,0,2,4,Dropout
1,1,1,9238,1,1,140.4,0,0,22,3,3,3,5,Graduate
1,1,1,9853,1,1,141.7,0,0,18,3,3,3,6,Graduate
1,17,2,9238,1,1,119.7,0,0,18,3,3,3,2,Graduate
1,1,1,9130,1,1,122.5,1,0,25,3,3,1,6,Dropout
1,39,1,9085,19,1,140.0,0,0,24,1,1,0,4,Dropout
1,1,3,9500,1,1,119.4,1,0,19,3,3,2,7,Enrolled
1,16,1,171,1,1,155.0,1,0,24,2,2,2,7,Enrolled
1,1,2,9147,1,1,119.1,1,0,20,3,3,3,7,Graduate
1,39,1,9147,1,1,122.7,0,0,25,0,0,1,5,Dropout
1,1,1,9147,1,1,117.9,0,0,20,3,3,3,7,Graduate
1,7,1,9500,3,1,130.0,0,0,23,3,3,2,6,Graduate
1,17,3,9500,1,1,120.0,1,0,19,3,3,3,5,Graduate
1,44,1,9003,39,1,130.0,0,0,29,1,1,0,5,Dropout
1,1,3,9254,1,1,116.8,1,0,21,3,2,2,6,Graduate
1,1,1,9670,1,1,123.4,1,0,18,3,3,3,6,Graduate
1,1,3,9070,1,1,125.4,1,0,19,3,3,2,6,Enrolled
1,1,3,9773,1,1,127.2,1,0,18,3,3,3,7,Dropout
1,1,1,9085,1,1,103.4,0,0,19,3,3,2,5,Graduate
1,1,1,9773,1,1,123.2,1,0,18,0,0,2,6,Enrolled
1,17,1,9147,1,1,124.1,0,0,18,3,3,2,7,Graduate
2,39,1,9556,19,1,99.5,1,0,37,0,0,1,7,Dropout
1,17,1,9991,40,1,124.9,0,0,29,3,3,2,4,Graduate
1,17,3,9070,1,1,110.8,0,0,18,3,3,2,5,Enrolled
1,1,1,9238,1,1,118.9,1,0,19,3,3,3,7,Graduate
1,43,1,9238,1,1,118.8,1,0,22,2,1,0,4,Dropout
1,1,1,9254,1,1,137.0,0,0,20,3,3,3,2,Graduate
1,39,1,8014,1,1,100.0,0,0,34,0,0,2,3,Dropout
1,43,1,9119,1,1,120.0,0,0,30,2,1,0,5,Dropout
1,1,1,9238,1,1,122.8,0,0,18,3,3,2,5,Graduate
1,1,1,9238,1,1,121.6,0,0,18,3,3,2,7,Graduate
1,1,2,9773,1,1,149.2,1,0,18,2,1,2,6,Graduate
1,17,4,9500,1,1,140.0,1,0,18,3,3,2,3,Graduate
1,1,2,9773,1,1,133.4,1,0,19,3,3,3,3,Graduate
1,1,1,9070,1,1,126.2,1,0,19,3,3,3,5,Graduate
1,1,5,9500,1,1,127.8,0,0,18,3,3,3,3,Graduate
1,44,1,9003,39,1,150.0,0,0,21,3,3,3,5,Graduate
1,1,2,9147,1,1,113.7,1,0,20,1,0,1,5,Dropout
1,17,1,9147,1,1,117.8,1,0,20,3,3,2,5,Graduate
1,1,1,9500,1,1,136.7,0,0,19,3,3,2,6,Graduate
1,1,1,9238,1,1,144.7,0,0,20,3,3,2,4,Graduate
1,17,3,9500,1,1,139.8,1,0,18,3,3,2,5,Graduate
1,42,1,9853,1,1,113.7,0,0,20,3,1,2,3,Dropout
2,7,1,9130,3,1,140.0,0,0,29,3,2,0,5,Dropout
1,1,1,9500,1,1,142.3,0,0,18,3,3,3,7,Enrolled
1,1,1,9500,1,1,119.6,1,0,20,3,3,3,2,Graduate
1,16,2,9147,1,1,123.7,1,0,22,3,3,3,4,Graduate
4,1,1,8014,1,1,143.0,1,0,47,3,3,3,4,Graduate
2,51,1,9991,1,1,100.1,0,0,31,3,3,2,7,Graduate
1,1,1,9070,1,1,119.4,0,0,21,3,3,3,4,Graduate
1,1,1,8014,1,1,122.1,0,0,21,3,3,2,5,Graduate
2,39,1,9773,12,1,100.0,0,0,24,3,3,2,5,Graduate
1,17,1,9070,1,1,113.9,0,0,18,3,3,2,2,Enrolled
1,39,1,8014,15,1,101.0,0,0,32,2,2,2,5,Graduate
1,18,2,8014,1,1,111.8,1,0,19,3,3,3,5,Graduate
1,39,1,9500,1,1,140.0,1,0,24,3,3,2,6,Graduate
1,17,4,9085,1,1,124.4,1,0,19,3,3,2,2,Graduate
1,44,1,9003,39,1,150.0,0,0,19,3,3,2,5,Graduate
1,44,1,9003,39,1,140.0,0,0,24,3,3,2,7,Enrolled
1,17,4,9238,1,1,116.0,1,0,18,3,3,3,7,Graduate
1,1,1,9070,1,1,135.6,1,0,19,3,1,3,7,Dropout
2,1,1,9500,1,1,121.0,0,0,19,3,3,3,5,Graduate
1,17,2,9773,1,1,118.7,1,0,18,3,3,3,7,Graduate
1,1,1,9238,1,1,125.7,1,0,18,3,3,2,7,Graduate
1,17,4,9556,1,1,107.1,1,0,20,3,3,2,7,Graduate
1,1,1,9500,1,1,125.5,0,0,18,3,3,2,6,Graduate
1,17,4,9670,1,1,127.0,1,0,18,3,3,2,6,Graduate
1,1,2,9085,1,1,113.5,1,0,21,3,3,3,5,Graduate
1,1,1,9500,1,1,154.4,0,0,18,3,3,3,2,Graduate
1,51,1,9670,1,1,122.0,0,0,18,1,3,0,6,Dropout
1,17,2,9238,1,1,128.0,1,0,19,0,0,2,6,Dropout
1,1,1,9670,1,1,115.5,1,0,19,2,2,2,5,Enrolled
1,17,4,9670,1,1,117.2,1,0,18,3,2,2,6,Graduate
1,39,1,9130,3,1,150.0,1,0,34,0,0,2,3,Dropout
1,1,3,9085,1,1,155.3,0,0,19,3,3,2,5,Graduate
1,44,1,9130,39,1,120.0,1,0,19,3,1,0,7,Dropout
1,51,1,9238,1,1,116.1,0,0,26,3,3,1,6,Graduate
1,17,1,9853,1,1,118.9,1,0,21,1,1,2,5,Dropout
1,17,2,9147,1,1,127.3,0,0,18,3,3,3,6,Graduate
1,17,4,9853,1,1,113.7,1,0,20,3,3,3,6,Graduate
1,51,1,9147,1,1,118.5,0,0,25,1,0,2,6,Dropout
1,1,1,9147,1,1,146.7,0,0,18,3,3,2,6,Graduate
1,1,1,9500,1,1,124.3,1,0,18,3,3,3,4,Graduate
1,1,1,9500,1,1,137.8,0,0,19,3,3,2,6,Graduate
1,1,1,9238,1,1,130.2,0,0,18,3,3,3,7,Graduate
1,17,1,9500,1,1,147.8,0,0,20,3,2,2,2,Enrolled
1,7,1,9085,40,1,150.0,0,0,26,0,0,0,7,Dropout
1,42,1,9500,1,1,100.0,1,0,19,3,3,3,5,Graduate
1,1,1,9500,1,1,155.6,0,0,19,3,3,2,4,Graduate
1,43,4,9147,1,1,117.4,0,0,19,1,3,2,5,Graduate
1,5,3,9085,1,1,128.8,1,0,19,2,2,2,5,Enrolled
1,1,1,9254,1,1,117.5,1,0,18,3,1,2,4,Graduate
1,43,1,9500,6,1,120.4,1,0,19,3,3,2,5,Graduate
1,1,1,9238,1,1,130.9,0,0,18,3,3,1,5,Graduate
1,1,1,9853,1,1,125.0,1,0,18,3,3,2,6,Enrolled
1,1,1,9085,1,1,136.8,1,0,18,3,3,2,6,Enrolled
1,1,1,9853,1,1,121.6,1,0,18,2,3,2,6,Enrolled
1,44,1,9119,39,1,151.0,0,0,26,0,0,1,4,Dropout
1,1,1,9238,1,1,103.5,1,0,20,3,3,2,7,Graduate
1,1,1,8014,1,1,119.4,0,0,19,3,3,2,3,Graduate
1,1,1,9238,1,1,134.4,1,0,18,3,3,3,6,Graduate
1,44,1,9238,39,1,143.0,0,0,19,3,3,2,5,Graduate
1,7,1,9853,40,1,110.0,0,0,40,3,3,1,7,Graduate
1,1,4,9500,1,1,132.5,1,0,18,3,3,3,6,Graduate
1,17,1,9238,1,1,114.7,0,0,19,3,3,2,5,Graduate
1,17,1,9130,1,1,166.9,0,0,18,3,3,2,5,Graduate
1,1,1,9085,1,1,125.9,1,0,19,3,2,2,6,Enrolled
1,1,1,171,1,1,178.3,1,0,18,0,0,2,2,Dropout
2,39,1,8014,1,1,117.0,1,0,33,3,3,2,7,Graduate
1,39,1,9003,3,1,150.0,0,0,35,3,3,2,4,Graduate
1,42,1,9147,1,1,130.0,1,0,26,3,1,2,6,Enrolled
1,1,1,9773,1,1,135.1,1,0,18,3,3,2,6,Graduate
1,43,1,9238,1,1,110.0,0,0,36,3,2,2,2,Enrolled
4,39,1,9991,1,1,136.2,0,0,39,3,3,2,5,Graduate
2,39,1,9238,1,1,116.0,0,0,44,3,3,2,3,Graduate
1,1,2,8014,1,1,100.0,0,0,20,3,2,2,6,Enrolled
1,1,1,9254,1,1,116.3,1,0,24,2,2,2,3,Dropout
1,43,1,9773,1,1,134.0,0,0,20,3,3,3,7,Graduate
1,1,4,171,1,1,124.2,1,0,19,0,0,1,6,Dropout
2,1,1,9500,1,1,134.5,0,0,18,3,3,2,5,Graduate
1,1,1,9254,1,1,120.7,0,0,22,3,0,0,5,Dropout
1,17,1,9085,1,1,127.1,1,0,18,3,3,2,6,Graduate
1,39,1,9500,19,1,133.0,0,0,24,3,3,2,5,Graduate
1,39,1,9991,1,1,128.2,0,0,33,0,0,2,3,Dropout
1,39,1,9003,1,1,130.0,0,0,30,0,0,2,6,Enrolled
1,39,1,9085,43,1,172.0,0,0,26,0,0,2,7,Dropout
1,17,4,9853,1,1,128.5,1,0,18,3,3,2,5,Graduate
1,1,1,9773,1,1,128.5,0,0,19,1,1,1,5,Dropout
1,17,4,9147,1,1,112.0,1,0,20,2,3,2,4,Enrolled
1,53,1,9085,42,1,142.5,1,0,22,2,3,3,7,Graduate
1,1,4,9500,1,1,133.0,1,0,19,2,2,2,5,Enrolled
1,1,1,9085,1,1,106.0,1,0,21,3,3,3,2,Graduate
1,1,4,9500,1,1,125.5,1,0,21,3,3,3,5,Graduate
1,17,1,9085,1,1,131.2,0,0,19,0,3,2,5,Enrolled
1,1,1,9853,1,1,112.9,1,0,19,3,3,3,7,Graduate
1,1,6,9500,1,1,124.8,1,0,18,3,3,2,3,Dropout
2,43,1,8014,1,1,140.9,0,0,50,3,3,2,4,Graduate
4,39,1,9991,1,1,148.0,0,0,31,3,3,3,5,Enrolled
1,17,1,9773,1,1,148.4,0,0,19,3,3,3,2,Graduate
4,39,1,9991,1,1,129.7,0,0,35,3,3,2,5,Graduate
2,39,1,9085,19,1,128.2,0,0,31,0,0,2,3,Dropout
2,51,1,8014,19,1,104.0,0,0,42,3,3,1,6,Enrolled
1,18,4,9147,1,1,119.9,1,0,34,0,0,1,6,Dropout
1,1,1,9500,1,1,141.0,1,0,18,3,3,3,7,Graduate
1,17,1,9853,1,1,116.6,1,0,18,3,3,2,7,Enrolled
1,44,1,9085,39,1,140.0,1,0,21,3,1,2,4,Enrolled
4,39,1,9500,19,1,140.0,0,0,26,2,2,3,4,Dropout
1,43,1,9500,1,1,100.0,0,0,20,3,3,2,5,Enrolled
