Marital Status,Application mode,Application order,Course,Daytime/evening attendance,Previous qualification,Nacionality,Admission grade,Displaced,Educational special needs,Gender,Age at enrollment,Unemployment rate,Inflation rate,GDP,Target,Success rate 1st sem,Success rate 2nd sem,Financial Status
1,17,1,9773,1,1,1,121.4,0,0,0,20,12.4,0.5,1.79,Dropout,2,3,1
1,39,1,9991,0,1,1,109.7,0,0,0,29,16.2,0.3,-0.92,Dropout,0,0,2
1,17,1,9991,0,1,1,134.1,0,0,0,24,7.6,2.6,0.32,Enrolled,1,2,2
1,17,2,9238,1,1,1,127.6,1,0,0,18,11.1,0.6,2.02,Graduate,3,3,2
1,17,6,9500,1,1,1,132.4,1,0,0,22,11.1,0.6,2.02,Graduate,3,3,3
1,44,1,8014,0,39,1,133.4,0,0,0,21,12.4,0.5,1.79,Graduate,3,3,3
1,1,1,9238,1,1,1,126.1,0,0,0,19,12.7,3.7,-1.7,Graduate,3,3,3
1,39,1,9254,1,1,1,113.5,0,0,0,24,12.4,0.5,1.79,Graduate,3,3,3
1,1,1,9500,1,1,1,121.3,1,0,0,19,9.4,-0.8,-3.12,Enrolled,2,2,3
1,1,1,9773,1,1,1,121.8,1,0,0,20,9.4,-0.8,-3.12,Enrolled,2,1,3
1,1,3,9130,1,1,1,159.3,0,0,0,19,7.6,2.6,0.32,Graduate,3,3,2
1,39,1,9991,0,1,1,120.0,0,0,0,27,9.4,-0.8,-3.12,Dropout,3,3,2
1,1,1,9500,1,1,1,129.1,1,0,0,18,15.5,2.8,-4.06,Graduate,3,3,2
2,7,1,9254,1,3,1,130.0,0,0,0,39,12.4,0.5,1.79,Dropout,0,0,2
1,39,1,9130,1,40,1,155.3,1,0,0,27,12.4,0.5,1.79,Dropout,3,3,2
1,17,1,9500,1,1,1,139.8,1,0,0,18,9.4,-0.8,-3.12,Graduate,3,3,2
1,1,3,171,1,1,1,115.2,1,0,0,18,7.6,2.6,0.32,Enrolled,0,0,2
1,1,2,9500,1,1,1,114.9,0,0,0,18,16.2,0.3,-0.92,Graduate,3,3,2
1,44,1,9238,1,39,1,131.9,0,0,0,21,13.9,-0.3,0.79,Graduate,3,3,3
1,17,3,171,1,1,1,126.0,1,0,1,19,10.8,1.4,1.74,Enrolled,0,0,3
1,17,1,9070,1,1,1,130.2,1,0,1,19,10.8,1.4,1.74,Enrolled,3,0,2
1,43,1,9070,1,1,1,120.9,0,0,1,24,12.7,3.7,-1.7,Enrolled,0,0,2
4,42,1,9500,1,19,1,126.0,1,0,1,29,13.9,-0.3,0.79,Dropout,2,2,2
1,1,3,171,1,1,1,128.2,1,0,1,19,10.8,1.4,1.74,Graduate,0,0,3
1,44,1,9003,1,39,1,130.0,1,0,1,23,8.9,1.4,3.51,Graduate,3,3,2
1,1,3,9147,1,1,1,120.1,0,0,1,19,16.2,0.3,-0.92,Dropout,3,3,1
1,39,1,9254,1,1,1,100.0,0,0,1,26,12.7,3.7,-1.7,Enrolled,3,3,2
1,17,1,9147,1,1,1,134.0,0,0,1,18,7.6,2.6,0.32,Enrolled,0,0,2
1,17,1,9500,1,1,1,130.8,0,0,1,24,13.9,-0.3,0.79,Graduate,3,3,2
1,1,1,171,1,1,1,135.8,1,0,1,19,15.5,2.8,-4.06,Dropout,0,0,2
1,17,4,9254,1,1,1,111.7,1,0,1,18,12.4,0.5,1.79,Dropout,1,0,2
1,1,2,9773,1,1,1,132.9,1,0,1,18,10.8,1.4,1.74,Graduate,3,1,2
1,17,3,9147,1,1,1,115.5,1,0,1,18,10.8,1.4,1.74,Dropout,2,2,1
1,18,4,9254,1,1,1,106.0,1,0,1,21,9.4,-0.8,-3.12,Dropout,2,0,3
1,17,4,9773,1,1,1,120.3,1,0,1,19,8.9,1.4,3.51,Graduate,3,3,2
1,17,4,9500,1,1,1,130.8,0,0,1,22,16.2,0.3,-0.92,Graduate,3,3,3
2,39,1,8014,0,1,1,117.0,0,0,1,33,10.8,1.4,1.74,Graduate,3,3,2
1,1,6,9853,1,1,1,110.2,1,0,1,20,10.8,1.4,1.74,Dropout,3,3,2
1,39,1,9991,0,2,1,155.7,1,0,1,35,10.8,1.4,1.74,Dropout,0,0,2
1,39,1,9003,1,4,1,180.4,0,0,1,24,12.4,0.5,1.79,Dropout,1,3,1
1,17,1,9254,1,1,1,125.5,0,0,1,18,12.7,3.7,-1.7,Enrolled,3,2,2
2,39,1,8014,0,1,1,110.0,1,0,0,33,9.4,-0.8,-3.12,Graduate,3,3,2
1,42,1,9500,1,1,1,161.0,1,0,0,22,10.8,1.4,1.74,Graduate,3,3,3
1,39,1,9670,1,1,1,100.0,0,0,0,25,9.4,-0.8,-3.12,Graduate,3,3,3
1,17,1,9070,1,1,1,117.6,1,0,1,20,7.6,2.6,0.32,Graduate,3,3,2
1,1,6,9147,1,1,1,128.7,1,0,1,23,11.1,0.6,2.02,Enrolled,3,3,2
1,43,2,9119,1,1,1,112.2,1,0,1,18,15.5,2.8,-4.06,Enrolled,1,0,1
1,39,1,9500,1,1,1,100.8,0,0,1,24,13.9,-0.3,0.79,Dropout,0,0,2
1,17,2,9773,1,1,41,105.0,1,0,0,21,8.9,1.4,3.51,Graduate,3,3,1
1,15,1,9130,1,1,41,100.0,0,0,0,26,8.9,1.4,3.51,Dropout,1,0,2
2,39,1,9853,1,10,1,115.5,0,0,0,39,7.6,2.6,0.32,Dropout,1,0,2
2,39,1,8014,0,1,1,114.0,0,0,0,44,12.7,3.7,-1.7,Graduate,3,3,2
1,15,1,9119,1,1,26,137.0,1,0,1,19,13.9,-0.3,0.79,Enrolled,3,2,2
1,1,5,9773,1,1,1,124.9,1,0,0,18,8.9,1.4,3.51,Graduate,3,3,2
1,1,5,9500,1,1,1,120.3,1,0,0,18,12.4,0.5,1.79,Graduate,3,3,3
1,1,1,9085,1,1,1,134.3,1,0,0,19,12.7,3.7,-1.7,Enrolled,3,3,2
1,1,4,9500,1,1,1,111.5,1,0,0,19,13.9,-0.3,0.79,Dropout,2,0,0
1,53,1,9085,1,42,1,128.8,0,0,0,21,8.9,1.4,3.51,Dropout,3,2,2
1,1,4,171,1,1,1,110.0,1,0,0,20,16.2,0.3,-0.92,Graduate,0,0,2
2,39,1,8014,0,1,1,113.5,1,0,0,36,9.4,-0.8,-3.12,Dropout,0,0,2
4,39,1,9003,1,12,1,160.0,0,0,0,43,15.5,2.8,-4.06,Graduate,3,3,2
1,18,1,9853,1,1,1,117.4,1,0,0,19,11.1,0.6,2.02,Dropout,0,0,2
1,51,1,9070,1,1,1,122.2,0,0,0,20,11.1,0.6,2.02,Graduate,3,3,1
1,1,2,9238,1,1,1,118.2,1,0,0,19,16.2,0.3,-0.92,Dropout,0,0,2
1,1,1,9085,1,1,1,106.7,1,0,0,20,15.5,2.8,-4.06,Dropout,2,2,2
1,1,5,9500,1,1,1,108.2,1,0,0,20,12.4,0.5,1.79,Dropout,3,2,2
1,17,2,9853,1,1,1,107.0,1,0,0,20,16.2,0.3,-0.92,Enrolled,3,1,2
1,1,1,9238,1,1,1,136.1,1,0,0,18,13.9,-0.3,0.79,Graduate,3,3,2
1,17,2,9147,1,1,1,115.3,1,0,0,18,8.9,1.4,3.51,Enrolled,2,2,3
1,1,1,9085,1,1,1,139.8,1,0,0,19,10.8,1.4,1.74,Graduate,3,3,2
1,1,3,9773,1,1,1,157.0,1,0,0,18,10.8,1.4,1.74,Graduate,3,3,2
1,17,2,9500,1,1,1,131.0,1,0,0,18,7.6,2.6,0.32,Dropout,3,3,2
1,43,1,9500,1,1,1,100.0,0,0,0,20,13.9,-0.3,0.79,Enrolled,3,3,2
1,17,1,9238,1,1,1,140.4,1,0,0,20,7.6,2.6,0.32,Enrolled,1,2,3
1,17,1,9147,1,1,1,113.4,0,0,0,20,12.4,0.5,1.79,Enrolled,2,2,2
1,1,2,9085,1,1,1,137.0,0,0,0,18,9.4,-0.8,-3.12,Graduate,3,3,2
1,1,1,9147,1,1,1,121.8,0,0,0,18,11.1,0.6,2.02,Graduate,3,3,2
1,17,1,9254,1,1,1,131.0,1,0,0,21,9.4,-0.8,-3.12,Dropout,1,1,2
1,1,2,9147,1,1,1,118.6,1,0,0,19,16.2,0.3,-0.92,Graduate,3,3,2
1,1,1,171,1,1,1,122.3,0,0,0,19,10.8,1.4,1.74,Dropout,0,0,2
1,1,1,9670,1,1,1,127.9,0,0,0,19,9.4,-0.8,-3.12,Graduate,3,3,3
1,1,1,9085,1,1,1,121.3,1,0,0,19,15.5,2.8,-4.06,Graduate,3,3,2
1,17,6,9556,1,1,1,117.1,1,0,0,19,13.9,-0.3,0.79,Dropout,2,0,2
1,44,1,9085,1,39,1,160.0,1,0,0,20,12.4,0.5,1.79,Graduate,3,3,2
1,1,1,9853,1,1,1,145.3,1,0,0,18,9.4,-0.8,-3.12,Enrolled,3,3,3
1,17,3,9238,1,1,1,122.6,1,0,0,18,12.4,0.5,1.79,Graduate,3,3,2
1,17,6,9500,1,1,1,128.0,1,0,0,19,12.4,0.5,1.79,Graduate,3,3,2
1,1,3,9500,1,1,1,124.9,1,0,0,18,13.9,-0.3,0.79,Dropout,3,3,3
1,17,2,9070,1,1,1,123.7,1,0,0,18,7.6,2.6,0.32,Graduate,3,3,2
1,1,4,9147,1,1,1,120.1,1,0,0,19,8.9,1.4,3.51,Graduate,3,3,2
1,17,6,9500,1,1,1,131.7,1,0,0,19,13.9,-0.3,0.79,Dropout,2,0,2
1,43,1,9238,1,1,1,133.2,0,0,0,20,7.6,2.6,0.32,Graduate,3,3,2
1,1,1,9670,1,1,1,109.3,0,0,0,19,12.4,0.5,1.79,Dropout,3,2,1
1,17,1,9670,1,1,1,113.0,1,0,0,20,7.6,2.6,0.32,Graduate,3,3,2
1,1,1,9773,1,1,1,157.9,0,0,0,18,8.9,1.4,3.51,Graduate,3,3,2
1,1,2,9500,1,1,1,112.1,0,0,0,20,11.1,0.6,2.02,Enrolled,2,3,3
1,18,1,9500,1,1,1,174.7,0,0,0,18,13.9,-0.3,0.79,Graduate,3,3,2
1,1,5,9500,1,1,1,128.8,1,0,0,19,7.6,2.6,0.32,Graduate,3,3,2
1,1,6,9773,1,1,1,110.1,1,0,0,19,12.4,0.5,1.79,Graduate,3,3,3
1,51,1,9147,1,1,1,99.7,1,0,0,22,8.9,1.4,3.51,Enrolled,0,0,0
1,1,3,9238,1,1,1,121.0,1,0,0,19,12.4,0.5,1.79,Graduate,3,3,3
1,1,3,9500,1,1,1,131.7,1,0,0,19,15.5,2.8,-4.06,Graduate,3,3,3
1,17,5,9853,1,1,1,119.1,1,0,0,19,9.4,-0.8,-3.12,Graduate,3,3,3
1,1,4,9254,1,1,1,124.7,1,0,0,19,7.6,2.6,0.32,Dropout,0,0,2
1,17,1,9254,1,1,1,117.2,1,0,0,20,7.6,2.6,0.32,Dropout,3,1,2
1,1,1,9147,1,1,1,128.8,0,0,0,18,13.9,-0.3,0.79,Graduate,3,3,2
1,1,1,9500,1,1,1,131.5,0,0,0,20,11.1,0.6,2.02,Graduate,3,3,3
1,1,1,171,1,1,1,121.7,1,0,0,18,9.4,-0.8,-3.12,Enrolled,0,0,2
1,1,1,9085,1,1,1,123.4,0,0,0,19,7.6,2.6,0.32,Graduate,3,3,2
1,17,1,9853,1,1,1,124.7,1,0,0,18,9.4,-0.8,-3.12,Enrolled,1,3,2
1,1,1,9853,1,1,1,132.8,1,0,0,18,7.6,2.6,0.32,Graduate,3,3,2
1,43,1,9853,1,1,1,108.7,1,0,0,21,9.4,-0.8,-3.12,Dropout,1,1,2
1,1,1,9853,1,1,1,138.1,0,0,0,19,7.6,2.6,0.32,Dropout,3,2,2
1,1,1,9147,1,1,1,126.5,0,0,0,18,12.4,0.5,1.79,Graduate,3,3,3
1,17,2,9238,1,1,1,127.4,1,0,0,18,12.7,3.7,-1.7,Graduate,3,3,3
1,1,3,9238,1,1,1,123.6,1,0,0,20,9.4,-0.8,-3.12,Graduate,2,3,2
1,39,1,8014,0,1,1,122.0,0,0,0,24,11.1,0.6,2.02,Graduate,3,3,3
1,1,1,9670,1,1,1,118.2,0,0,0,19,10.8,1.4,1.74,Dropout,3,3,2
1,1,1,9500,1,1,1,123.9,1,0,0,18,15.5,2.8,-4.06,Graduate,3,3,3
1,1,2,9500,1,1,1,125.8,1,0,0,18,15.5,2.8,-4.06,Graduate,3,3,2
1,17,5,9853,1,1,1,123.3,1,0,0,21,10.8,1.4,1.74,Dropout,2,1,2
1,17,2,9670,1,1,1,124.4,0,0,0,19,7.6,2.6,0.32,Graduate,3,3,2
1,17,1,9773,1,1,1,126.0,0,0,0,19,15.5,2.8,-4.06,Graduate,3,3,3
3,39,1,9003,1,1,1,170.0,0,0,0,47,8.9,1.4,3.51,Enrolled,0,0,1
1,17,3,9238,1,1,1,121.5,0,0,0,19,13.9,-0.3,0.79,Graduate,3,2,2
1,39,1,9500,1,3,1,130.0,0,0,0,29,12.7,3.7,-1.7,Graduate,3,3,2
1,43,1,9238,1,1,1,117.0,1,0,0,21,16.2,0.3,-0.92,Dropout,1,1,2
1,39,1,9085,1,1,1,130.0,1,0,0,28,12.7,3.7,-1.7,Enrolled,3,3,2
1,17,2,9556,1,1,1,108.0,0,0,0,20,15.5,2.8,-4.06,Graduate,3,3,2
1,17,1,9500,1,1,1,132.3,1,0,0,19,7.6,2.6,0.32,Graduate,3,3,2
1,42,1,8014,0,1,1,148.0,0,0,0,26,9.4,-0.8,-3.12,Graduate,1,3,2
1,17,2,9254,1,1,1,122.6,1,0,0,20,11.1,0.6,2.02,Dropout,2,3,0
1,1,1,9670,1,1,1,123.0,1,0,0,18,7.6,2.6,0.32,Enrolled,2,3,3
1,39,1,9853,1,1,1,102.5,0,0,0,27,7.6,2.6,0.32,Graduate,3,3,2
1,1,2,9500,1,1,1,113.3,1,0,0,20,7.6,2.6,0.32,Dropout,2,2,2
1,1,5,9853,1,1,1,133.0,1,0,0,18,9.4,-0.8,-3.12,Dropout,3,3,2
1,7,1,9500,1,3,1,140.0,0,0,0,33,16.2,0.3,-0.92,Dropout,3,2,2
1,43,1,9853,1,1,1,128.3,1,0,0,35,12.4,0.5,1.79,Graduate,3,3,2
1,44,1,9991,0,39,1,140.0,0,0,0,26,9.4,-0.8,-3.12,Enrolled,3,3,3
1,39,1,9773,1,19,1,104.0,0,0,0,27,11.1,0.6,2.02,Dropout,3,0,0
1,18,3,9070,1,1,1,122.3,1,0,0,19,15.5,2.8,-4.06,Dropout,3,0,1
1,17,2,9254,1,1,1,135.0,0,0,0,20,11.1,0.6,2.02,Dropout,0,0,2
1,18,2,9147,1,1,1,119.1,1,0,0,20,10.8,1.4,1.74,Dropout,2,2,0
1,43,1,9238,1,1,1,126.6,0,0,0,21,9.4,-0.8,-3.12,Enrolled,3,2,0
1,17,3,9500,1,1,1,129.0,1,0,0,18,7.6,2.6,0.32,Graduate,3,3,3
1,39,1,9085,1,1,1,162.3,1,0,0,24,8.9,1.4,3.51,Dropout,1,0,2
1,17,4,9070,1,1,1,163.4,1,0,0,20,16.2,0.3,-0.92,Graduate,3,3,2
1,1,1,9254,1,1,1,121.5,0,0,0,21,13.9,-0.3,0.79,Graduate,3,3,3
1,1,1,8014,0,1,1,122.8,0,0,0,23,9.4,-0.8,-3.12,Enrolled,1,0,2
1,39,1,9147,1,1,1,118.0,1,0,0,24,7.6,2.6,0.32,Dropout,0,0,2
1,51,1,9853,1,1,1,134.0,0,0,0,21,12.4,0.5,1.79,Dropout,0,0,2
1,1,4,9500,1,1,1,129.8,1,0,0,18,12.7,3.7,-1.7,Graduate,3,3,2
1,39,1,9991,0,40,1,152.0,1,0,0,27,8.9,1.4,3.51,Dropout,0,0,2
1,18,6,9500,1,1,1,122.8,1,0,0,18,9.4,-0.8,-3.12,Graduate,3,3,2
1,7,1,9119,1,3,1,150.0,0,0,0,35,13.9,-0.3,0.79,Dropout,0,0,2
1,1,1,9853,1,1,1,131.8,0,0,0,18,11.1,0.6,2.02,Graduate,3,3,2
1,39,1,9500,1,1,1,105.9,0,0,0,35,11.1,0.6,2.02,Enrolled,3,3,2
1,1,1,9085,1,1,1,132.1,1,0,0,19,10.8,1.4,1.74,Graduate,3,3,2
1,1,4,9238,1,1,1,127.4,1,0,0,20,7.6,2.6,0.32,Graduate,3,3,2
1,1,4,9500,1,1,1,129.5,1,0,0,18,10.8,1.4,1.74,Graduate,3,3,2
1,44,1,9238,1,39,1,126.7,0,0,0,21,13.9,-0.3,0.79,Graduate,3,3,1
1,17,2,9238,1,1,1,116.5,0,0,0,18,16.2,0.3,-0.92,Graduate,3,2,3
1,1,1,9238,1,1,1,119.1,1,0,0,18,7.6,2.6,0.32,Graduate,2,2,2
1,1,2,9500,1,1,1,126.5,1,0,0,18,12.7,3.7,-1.7,Graduate,3,3,2
1,1,4,9773,1,1,1,149.8,1,0,0,18,16.2,0.3,-0.92,Graduate,3,3,3
1,1,1,9085,1,1,1,115.1,1,0,0,19,13.9,-0.3,0.79,Graduate,3,3,2
1,39,1,9254,1,19,1,124.5,0,0,0,36,16.2,0.3,-0.92,Dropout,3,3,3
1,1,2,9500,1,1,1,128.3,1,0,0,18,12.7,3.7,-1.7,Graduate,3,3,3
1,1,1,9500,1,1,1,136.0,0,0,0,18,7.6,2.6,0.32,Graduate,3,3,3
1,43,1,9130,1,1,1,140.0,1,0,0,20,13.9,-0.3,0.79,Graduate,3,3,3
1,39,1,9991,0,1,1,126.3,0,0,0,26,16.2,0.3,-0.92,Dropout,0,0,3
1,43,1,9773,1,1,1,126.9,0,0,0,21,7.6,2.6,0.32,Graduate,3,3,2
1,39,1,9556,1,40,1,145.0,0,0,0,25,15.5,2.8,-4.06,Enrolled,3,3,2
1,18,1,9147,1,1,1,115.8,1,0,0,19,12.4,0.5,1.79,Graduate,3,3,3
1,39,1,8014,0,1,1,100.0,1,0,0,24,9.4,-0.8,-3.12,Dropout,0,0,2
1,39,1,8014,0,1,1,102.5,0,0,0,27,8.9,1.4,3.51,Dropout,0,0,3
1,17,1,9085,1,1,1,131.5,0,0,0,21,7.6,2.6,0.32,Dropout,0,1,2
1,1,1,9147,1,1,1,147.0,0,0,0,18,9.4,-0.8,-3.12,Graduate,3,2,3
2,1,4,9853,1,1,1,122.5,0,1,0,19,10.8,1.4,1.74,Graduate,3,3,3
1,1,3,9254,1,1,1,117.5,1,0,0,18,9.4,-0.8,-3.12,Dropout,2,1,2
1,51,1,9500,1,1,1,150.0,0,0,0,19,11.1,0.6,2.02,Graduate,2,3,3
1,18,1,9500,1,1,1,127.5,1,0,0,19,16.2,0.3,-0.92,Graduate,3,3,3
2,7,1,9991,0,43,1,140.0,0,0,0,33,11.1,0.6,2.02,Graduate,3,3,2
2,7,1,9147,1,3,1,130.0,0,0,0,45,12.4,0.5,1.79,Graduate,3,3,2
1,1,1,9238,1,1,1,133.3,0,0,0,20,11.1,0.6,2.02,Graduate,3,3,3
1,39,2,9670,1,1,1,97.0,1,0,0,28,7.6,2.6,0.32,Dropout,0,0,2
1,43,1,9500,1,1,1,112.0,1,0,0,19,12.7,3.7,-1.7,Graduate,3,3,3
1,1,2,9254,1,1,1,123.6,1,0,0,18,12.7,3.7,-1.7,Graduate,3,1,2
1,39,1,9254,1,3,1,130.5,0,0,0,38,15.5,2.8,-4.06,Dropout,0,0,2
1,1,2,9670,1,1,1,133.3,0,0,0,19,9.4,-0.8,-3.12,Graduate,3,3,2
1,1,1,9254,1,1,1,132.1,0,0,0,21,15.5,2.8,-4.06,Graduate,3,3,3
1,1,1,9147,1,1,1,100.0,0,0,0,21,16.2,0.3,-0.92,Dropout,2,0,2
1,1,1,9238,1,1,1,140.4,0,0,0,22,10.8,1.4,1.74,Graduate,3,3,3
1,1,1,9853,1,1,1,141.7,0,0,0,18,9.4,-0.8,-3.12,Graduate,3,3,3
1,17,2,9238,1,1,1,119.7,0,1,0,18,15.5,2.8,-4.06,Graduate,3,3,3
1,1,1,9130,1,1,1,122.5,1,0,0,25,9.4,-0.8,-3.12,Dropout,3,3,1
1,39,1,9085,1,19,1,140.0,0,0,0,24,16.2,0.3,-0.92,Dropout,1,1,0
1,1,3,9500,1,1,1,119.4,1,0,0,19,12.4,0.5,1.79,Enrolled,3,3,2
1,16,1,171,1,1,1,155.0,1,0,0,24,12.4,0.5,1.79,Enrolled,2,2,2
1,1,2,9147,1,1,1,119.1,1,0,0,20,12.4,0.5,1.79,Graduate,3,3,3
1,39,1,9147,1,1,1,122.7,0,0,0,25,10.8,1.4,1.74,Dropout,0,0,1
1,1,1,9147,1,1,1,117.9,0,0,0,20,8.9,1.4,3.51,Graduate,3,3,3
1,7,1,9500,1,3,1,130.0,0,0,0,23,9.4,-0.8,-3.12,Graduate,3,3,2
1,17,3,9500,1,1,1,120.0,1,0,0,19,10.8,1.4,1.74,Graduate,3,3,3
1,44,1,9003,1,39,1,130.0,0,0,0,29,13.9,-0.3,0.79,Dropout,1,1,0
1,1,3,9254,1,1,1,116.8,1,0,0,21,11.1,0.6,2.02,Graduate,3,2,2
1,1,1,9670,1,1,1,123.4,1,0,0,18,11.1,0.6,2.02,Graduate,3,3,3
1,1,3,9070,1,1,1,125.4,1,0,0,19,9.4,-0.8,-3.12,Enrolled,3,3,2
1,1,3,9773,1,1,1,127.2,1,0,0,18,8.9,1.4,3.51,Dropout,3,3,3
1,1,1,9085,1,1,1,103.4,0,0,0,19,7.6,2.6,0.32,Graduate,3,3,2
1,1,1,9773,1,1,1,123.2,1,0,0,18,9.4,-0.8,-3.12,Enrolled,0,0,2
1,17,1,9147,1,1,1,124.1,0,0,0,18,8.9,1.4,3.51,Graduate,3,3,2
2,39,1,9556,1,19,1,99.5,1,0,0,37,8.9,1.4,3.51,Dropout,0,0,1
1,17,1,9991,0,40,1,124.9,0,0,0,29,16.2,0.3,-0.92,Graduate,3,3,2
1,17,3,9070,1,1,1,110.8,0,0,0,18,7.6,2.6,0.32,Enrolled,3,3,2
1,1,1,9238,1,1,1,118.9,1,0,0,19,12.4,0.5,1.79,Graduate,3,3,3
1,43,1,9238,1,1,1,118.8,1,0,0,22,16.2,0.3,-0.92,Dropout,2,1,0
1,1,1,9254,1,1,1,137.0,0,0,0,20,15.5,2.8,-4.06,Graduate,3,3,3
1,39,1,8014,0,1,1,100.0,0,0,0,34,12.7,3.7,-1.7,Dropout,0,0,2
1,43,1,9119,1,1,1,120.0,0,0,0,30,7.6,2.6,0.32,Dropout,2,1,0
1,1,1,9238,1,1,1,122.8,0,0,0,18,10.8,1.4,1.74,Graduate,3,3,2
1,1,1,9238,1,1,1,121.6,0,0,0,18,12.4,0.5,1.79,Graduate,3,3,2
1,1,2,9773,1,1,1,149.2,1,0,0,18,9.4,-0.8,-3.12,Graduate,2,1,2
1,17,4,9500,1,1,1,140.0,1,0,0,18,12.7,3.7,-1.7,Graduate,3,3,2
1,1,2,9773,1,1,1,133.4,1,0,0,19,12.7,3.7,-1.7,Graduate,3,3,3
1,1,1,9070,1,1,1,126.2,1,0,0,19,10.8,1.4,1.74,Graduate,3,3,3
1,1,5,9500,1,1,1,127.8,0,0,0,18,12.7,3.7,-1.7,Graduate,3,3,3
1,44,1,9003,1,39,1,150.0,0,0,0,21,13.9,-0.3,0.79,Graduate,3,3,3
